Timestamp,units_per_semester,drinks_caffeine,prefered_drink,cups_daily
2025/04/14 9:27:08 AM MDT,15,No,juices,
2025/04/14 9:27:10 AM MDT,12,No,Coffee,1
2025/04/14 9:31:35 AM MDT,16,"Yes, I do",Coke/Pepsi/Dr pepper,1
2025/04/14 9:33:31 AM MDT,18,"Yes, I do","Coffee, Oolong/Green/Black tea",4
2025/04/14 9:35:03 AM MDT,17,"Yes, I do",Coffee,1
2025/04/14 9:37:51 AM MDT,16,No,,
2025/04/14 9:40:28 AM MDT,16,No,,
2025/04/14 9:41:32 AM MDT,13,"Yes, I do",Coffee,1
2025/04/14 9:42:02 AM MDT,13,No,,
2025/04/14 9:46:42 AM MDT,16,"Yes, I do",Coffee,1
2025/04/14 10:32:38 AM MDT,16,"Yes, I do",Coffee,4
2025/04/14 2:00:16 PM MDT,14,"Yes, I do",Coffee,2
2025/04/14 2:01:30 PM MDT,13,"Yes, I do",Coffee,1
2025/04/14 2:02:47 PM MDT,12,"Yes, I do",Black/green tea,1
2025/04/14 2:03:01 PM MDT,18,"Yes, I do",Energy drink,4
2025/04/14 2:03:31 PM MDT,16,"Yes, I do",Energy drink,2
2025/04/14 2:04:08 PM MDT,16,No,Black/green tea,1
2025/04/14 2:04:22 PM MDT,16,"Yes, I do",Coke/Pepsi/Dr pepper,1
2025/04/14 2:05:07 PM MDT,15,No,,
2025/04/14 2:05:37 PM MDT,16,"Yes, I do",Matcha,1
2025/04/14 2:06:16 PM MDT,12,No,matcha AND black/green tea,3
2025/04/14 2:06:40 PM MDT,18,"Yes, I do",Black/green tea,3
2025/04/14 2:06:47 PM MDT,18,No,,
2025/04/14 2:07:27 PM MDT,16,"Yes, I do",Coffee,1
2025/04/14 2:08:09 PM MDT,18,No,Coffee,1
2025/04/14 2:08:53 PM MDT,16,No,,
2025/04/14 2:10:17 PM MDT,13,"Yes, I do",Energy drink,2
2025/04/14 2:10:35 PM MDT,16,No,,
2025/04/14 2:10:37 PM MDT,16,"Yes, I do",Matcha,4
2025/04/14 2:12:36 PM MDT,12.5,"Yes, I do",Energy drink,2
2025/04/14 2:13:21 PM MDT,18,No,,
2025/04/14 2:13:51 PM MDT,16,"Yes, I do",Coffee,1
2025/04/14 2:14:57 PM MDT,12,"Yes, I do",Matcha,1
2025/04/14 2:17:23 PM MDT,15,"Yes, I do",Coffee,3
2025/04/14 2:18:18 PM MDT,16,"Yes, I do",Coffee,1
2025/04/14 2:22:06 PM MDT,18,"Yes, I do",Coffee,3
2025/04/16 4:13:19 AM MDT,14,"Yes, I do",Coffee,2
2025/04/17 7:11:29 PM MDT,15,"Yes, I do",Coffee,3
2025/04/17 7:51:33 PM MDT,12,"Yes, I do",Energy drink,2
2025/04/17 9:16:03 PM MDT,16,"Yes, I do",Coffee,2
2025/04/17 11:56:54 PM MDT,-,"Yes, I do",Coffee,2
2025/04/18 2:51:10 AM MDT,18,"Yes, I do",Coke/Pepsi/Dr pepper,1
2025/04/18 10:21:48 AM MDT,16,No,Coffee,1
2025/04/18 11:06:22 AM MDT,17,"Yes, I do",Coffee,1
2025/04/22 4:26:24 PM MDT,16,"Yes, I do",Energy drink,2
2025/04/22 4:37:40 PM MDT,14,No,,
2025/04/22 4:46:16 PM MDT,17,"Yes, I do",Matcha,1
2025/04/22 4:53:11 PM MDT,12,No,,
2025/04/22 4:56:07 PM MDT,14,"Yes, I do",Coffee,2
2025/04/22 4:58:19 PM MDT,18,"Yes, I do",Energy drink,3
